Datetime, Aggregationtime, Station, Lat, Lon, Alt, Qualityflag, Ta_200, P_container_NRT, SD
"1909-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",0.2,65.0,"NaN"
"1909-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",0.6,72.0,"NaN"
"1910-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-0.9,96.0,"NaN"
"1910-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",0.3,53.0,"NaN"
"1910-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",2.3,37.0,"NaN"
"1910-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",6.0,64.0,"NaN"
"1910-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",10.4,99.0,"NaN"
"1910-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.6,163.0,"NaN"
"1910-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.2,110.0,"NaN"
"1910-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.8,78.0,"NaN"
"1910-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",10.0,71.0,"NaN"
"1910-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",8.4,20.0,"NaN"
"1910-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",1.2,117.0,"NaN"
"1910-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",1.0,58.0,"NaN"
"1911-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-4.6,26.0,"NaN"
"1911-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-1.1,53.0,"NaN"
"1911-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",2.7,38.0,"NaN"
"1911-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",5.0,24.0,"NaN"
"1911-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",10.8,59.0,"NaN"
"1911-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",13.2,141.0,"NaN"
"1911-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",18.0,11.0,"NaN"
"1911-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",18.0,48.0,"NaN"
"1911-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",13.6,56.0,"NaN"
