Datetime, Aggregationtime, Station, lat, lon, alt, Qualityflag, Ta_200, P_RT_NRT, SD
1912-12,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1913-01,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1913-02,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1913-03,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1913-04,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1913-05,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1913-06,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1913-07,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1913-08,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1913-09,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1913-10,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1913-11,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1913-12,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1914-01,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1914-02,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1914-03,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1914-04,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1914-05,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1914-06,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1914-07,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1914-08,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1914-09,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1914-10,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1914-11,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1914-12,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1915-01,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1915-02,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1915-03,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1915-04,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1915-05,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1915-06,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1915-07,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1915-08,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1915-09,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1915-10,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1915-11,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1915-12,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1916-01,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1916-02,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1916-03,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1916-04,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1916-05,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1916-06,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1916-07,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1916-08,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1916-09,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1916-10,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1916-11,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1916-12,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1917-01,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1917-02,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1917-03,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1917-04,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1917-05,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1917-06,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1917-07,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1917-08,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1917-09,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
1917-10,s1m01,Sontra,NaN,NaN,NaN,xxxxxxxxx,NaN,NaN,NaN
