Datetime, Aggregationtime, Station, lat, lon, alt, Qualityflag, Ta_200, P_RT_NRT, SD
1906-12,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,-1.9,61.0,NaN
1907-01,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,1.0,38.9,NaN
1907-02,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,-0.6,34.7,NaN
1907-03,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,3.6,44.8,NaN
1907-04,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,6.8,9.3,NaN
1907-05,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,13.3,35.6,NaN
1907-06,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,14.8,67.0,NaN
1907-07,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,14.2,95.7,NaN
1907-08,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,15.6,70.6,NaN
1907-09,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,12.9,73.9,NaN
1907-10,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,11.4,23.1,NaN
1907-11,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,4.1,24.3,NaN
1907-12,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,2.2,47.0,NaN
1908-01,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,-2.0,23.4,NaN
1908-02,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,2.2,48.4,NaN
1908-03,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,2.9,16.2,NaN
1908-04,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,5.9,82.8,NaN
1908-05,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,13.6,73.4,NaN
1908-06,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,17.2,59.4,NaN
1908-07,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,17.4,52.6,NaN
1908-08,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,14.8,90.2,NaN
1908-09,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,12.4,38.6,NaN
1908-10,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,8.0,2.4,NaN
1908-11,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,1.7,30.7,NaN
1908-12,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,0.7,10.4,NaN
1909-01,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,-1.4,22.5,NaN
1909-02,s1m01,Goettingen,51.514,9.932,151.0,xxxxxxxxx,-2.9,78.7,NaN
